OrderID,CustomerID,OrderDate,Category,Product,Quantity,UnitPrice,Discount,Revenue
O10033,C1181,2025-12-22,Home & Kitchen,Vacuum Cleaner,6,10509.56,0.05,59904.49
O10034,C1347,2025-07-25,Apparel,Running Shoes,6,5410.44,0.15,27593.24
O10035,C1154,2025-04-16,Apparel,Sunglasses,4,3299.56,0,13198.24
O10036,C1078,2025-03-21,Apparel,Running Shoes,11,1377.57,0,15153.27
O10037,C1271,2025-02-02,Stationery,Notebook Set,5,840.17,0.15,3570.72
O10038,C1150,2025-06-03,Stationery,Notebook Set,1,757.41,0.05,719.54
O10039,C1177,2025-11-08,Home & Kitchen,Mixer Grinder,4,12868.23,0.15,43751.98
O10040,C1311,2024-09-17,Stationery,Desk Organiser,4,357.24,0,1428.96
O10041,C1379,2025-12-02,Apparel,Running Shoes,2,4008.36,0,8016.72
O10042,C1242,2025-11-14,Stationery,Notebook Set,1,658.59,0,658.59
O10043,C1255,2025-02-10,Stationery,Notebook Set,3,318.38,0.1,859.63
O10044,C1254,2025-05-07,Apparel,Backpack,7,3284.56,0.15,19543.13
O10045,C1184,2025-08-24,Electronics,Wireless Earbuds,6,6494.5,0,38967.0
O10046,C1414,2024-06-15,Stationery,Planner,2,658.91,0.15,1120.15
O10047,C1212,2025-06-30,Home & Kitchen,Vacuum Cleaner,3,3314.69,0.05,9446.87
O10048,C1398,2025-06-23,Stationery,Pen Pack,2,448.36,0.1,807.05
O10049,C1026,2025-08-28,Furniture,Bookshelf,2,22296.28,0,44592.56
O10050,C1259,2025-09-22,Home & Kitchen,Water Purifier,3,11545.02,0.15,29439.8
O10051,C1153,2025-04-20,Stationery,Notebook Set,1,973.43,0.1,876.09
O10052,C1207,2025-07-22,Stationery,Notebook Set,4,568.41,0,2273.64
O10053,C1243,2025-04-10,Stationery,Planner,3,797.53,0.15,2033.7
O10054,C1305,2024-10-20,Home & Kitchen,Air Fryer,9,10070.63,0,90635.67
O10055,C1051,2024-11-29,Electronics,Power Bank,4,7763.92,0,31055.68
O10056,C1402,2025-05-05,Stationery,Desk Organiser,1,1055.57,0,1055.57
O10057,C1010,2025-06-20,Stationery,Notebook Set,11,672.65,0,7399.15
O10058,C1396,2025-11-13,Apparel,Sunglasses,1,3400.24,0.1,3060.22
O10059,C1303,2024-10-31,Apparel,Sunglasses,1,3973.31,0,3973.31
O10060,C1077,2025-10-08,Electronics,Power Bank,3,1836.83,0,5510.49
O10061,C1111,2025-07-13,Home & Kitchen,Water Purifier,3,2409.77,0.05,6867.84
O10062,C1375,2024-08-26,Electronics,Bluetooth Speaker,3,7759.98,0,23279.94
O10063,C1373,2025-05-01,Furniture,Bed Frame,2,14402.46,0,28804.92
O10064,C1367,2025-01-20,Electronics,Wireless Earbuds,3,1913.42,0.1,5166.23
O10065,C1040,2025-03-30,Furniture,Bookshelf,2,20183.0,0.05,38347.7
O10066,C1311,2024-08-17,Furniture,Bookshelf,3,24898.34,0.15,63490.77
O10067,C1085,2025-06-28,Electronics,Bluetooth Speaker,4,9144.97,0.05,34750.89
O10068,C1244,2025-03-05,Apparel,Backpack,11,5293.9,0,58232.9
O10069,C1031,2025-10-30,Stationery,Desk Organiser,3,1063.04,0,3189.12
O10070,C1307,2025-04-23,Stationery,Planner,1,1175.21,0.15,998.93
O10071,C1192,2024-12-29,Apparel,Backpack,2,4755.9,0.05,9036.21
O10072,C1080,2025-04-11,Furniture,Study Table,3,21952.68,0.1,59272.24
O10073,C1350,2025-09-16,Furniture,Office Chair,4,16109.6,0,64438.4
O10074,C1403,2025-03-23,Furniture,Office Chair,9,19069.73,0,171627.57
O10075,C1300,2024-07-11,Apparel,Sunglasses,3,3927.15,0,11781.45
O10076,C1119,2025-09-28,Stationery,Desk Organiser,10,1079.35,0.1,9714.15
O10077,C1301,2024-08-01,Home & Kitchen,Mixer Grinder,4,4469.31,0,17877.24
O10078,C1185,2025-08-06,Apparel,Jacket,2,2279.31,0,4558.62
O10079,C1190,2025-10-27,Apparel,Running Shoes,4,1774.47,0,7097.88
O10080,C1265,2024-08-07,Electronics,Wireless Earbuds,11,3375.76,0.1,33420.02
O10081,C1109,2025-06-25,Furniture,Bed Frame,2,6587.82,0.1,11858.08
O10082,C1067,2025-04-21,Electronics,Bluetooth Speaker,4,3347.62,0,13390.48
O10083,C1026,2025-04-19,Stationery,Desk Organiser,2,1064.2,0,2128.4
O10084,C1306,2025-09-14,Electronics,Wireless Earbuds,4,3780.39,0,15121.56
O10085,C1342,2025-12-30,Apparel,Jacket,4,3410.72,0,13642.88
O10086,C1369,2024-10-04,Home & Kitchen,Air Fryer,3,13312.22,0.1,35942.99
O10087,C1014,2025-04-07,Furniture,Bed Frame,1,5699.01,0,5699.01
O10088,C1101,2025-09-04,Furniture,Bed Frame,1,20794.8,0,20794.8
O10089,C1131,2025-06-03,Electronics,Bluetooth Speaker,4,5506.11,0,22024.44
O10090,C1346,2024-05-26,Apparel,Jacket,4,5373.56,0,21494.24
O10091,C1039,2025-05-26,Home & Kitchen,Water Purifier,2,13503.86,0.15,22956.56
O10092,C1038,2025-09-02,Furniture,Bookshelf,3,22195.81,0,66587.43
O10093,C1073,2025-07-29,Home & Kitchen,Air Fryer,9,4326.83,0,38941.47
O10094,C1224,2024-06-24,Furniture,Bed Frame,2,13353.31,0.1,24035.96
O10095,C1151,2025-07-02,Home & Kitchen,Vacuum Cleaner,7,7993.88,0.05,53159.3
O10096,C1058,2024-11-03,Stationery,Notebook Set,12,812.55,0.1,8775.54
O10097,C1244,2024-11-24,Electronics,Bluetooth Speaker,7,7612.35,0,53286.45
O10098,C1122,2024-12-01,Electronics,Power Bank,5,4028.6,0.15,17121.55
O10099,C1150,2025-04-09,Electronics,Power Bank,2,8014.08,0.05,15226.75
O10100,C1000,2025-08-24,Furniture,Study Table,1,12242.13,0,12242.13
O10101,C1141,2025-10-03,Home & Kitchen,Mixer Grinder,3,12151.78,0.15,30987.04
O10102,C1089,2025-01-24,Stationery,Notebook Set,11,1020.42,0,11224.62
O10103,C1089,2025-02-02,Home & Kitchen,Mixer Grinder,6,9078.61,0.15,46300.91
O10104,C1375,2025-08-02,Apparel,Running Shoes,2,3803.37,0.15,6465.73
O10105,C1252,2025-03-25,Electronics,Power Bank,2,8808.66,0.15,14974.72
O10106,C1136,2025-07-04,Home & Kitchen,Vacuum Cleaner,3,2632.72,0.1,7108.34
O10107,C1002,2025-07-11,Stationery,Planner,2,1167.17,0.15,1984.19
O10108,C1125,2025-02-18,Apparel,Running Shoes,1,2532.63,0.05,2406.0
O10109,C1228,2025-06-01,Electronics,Smart Watch,1,1959.3,0,1959.3
O10110,C1085,2025-06-06,Furniture,Bookshelf,3,16440.25,0.15,41922.64
O10111,C1378,2024-12-02,Furniture,Office Chair,12,22502.63,0.1,243028.4
O10112,C1122,2025-06-30,Electronics,Bluetooth Speaker,5,8495.35,0,42476.75
O10113,C1238,2025-12-25,Stationery,Desk Organiser,1,265.54,0,265.54
O10114,C1277,2025-09-07,Home & Kitchen,Mixer Grinder,11,3937.2,0.05,41143.74
O10115,C1084,2024-03-22,Apparel,Sunglasses,3,4243.43,0.05,12093.78
O10116,C1026,2025-10-04,Furniture,Bed Frame,2,9668.11,0.1,17402.6
O10117,C1411,2025-03-14,Apparel,Running Shoes,1,2719.33,0,2719.33
O10118,C1127,2025-07-18,Electronics,Bluetooth Speaker,2,2639.5,0.05,5015.05
O10119,C1102,2025-12-25,Electronics,Smart Watch,2,2873.43,0.05,5459.52
O10120,C1324,2024-06-08,Electronics,Wireless Earbuds,11,8465.17,0.15,79149.34
O10121,C1319,2025-03-22,Stationery,Notebook Set,3,802.32,0,2406.96
O10122,C1222,2025-05-30,Electronics,Bluetooth Speaker,2,2670.44,0,5340.88
O10123,C1030,2025-07-12,Stationery,Desk Organiser,5,238.7,0,1193.5
O10124,C1225,2025-05-31,Stationery,Pen Pack,2,1079.45,0,2158.9
O10125,C1124,2024-04-17,Stationery,Desk Organiser,11,1031.73,0,11349.03
O10126,C1332,2025-08-30,Home & Kitchen,Vacuum Cleaner,3,7638.42,0.05,21769.5
O10127,C1240,2025-11-03,Furniture,Office Chair,2,9708.47,0.1,17475.25
O10128,C1196,2025-11-30,Apparel,Running Shoes,4,6075.47,0,24301.88
O10129,C1165,2025-09-21,Apparel,Backpack,6,2494.99,0,14969.94
O10130,C1081,2024-10-12,Stationery,Desk Organiser,2,611.99,0.05,1162.78
O10131,C1181,2025-11-27,Electronics,Smart Watch,6,9417.66,0,56505.96
O10132,C1213,2025-09-25,Furniture,Study Table,11,19019.9,0,209218.9
O10133,C1265,2024-10-22,Apparel,Backpack,12,5295.68,0,63548.16
O10134,C1211,2025-06-23,Electronics,Power Bank,3,7695.72,0.05,21932.8
O10135,C1292,2024-12-12,Apparel,Backpack,4,5787.46,0.05,21992.35
O10136,C1354,2025-05-08,Furniture,Bookshelf,4,10797.76,0.1,38871.94
O10137,C1196,2025-07-18,Electronics,Power Bank,6,4731.19,0,28387.14
O10138,C1411,2024-09-15,Apparel,Sunglasses,1,4156.86,0,4156.86
O10139,C1165,2025-08-10,Furniture,Study Table,3,25400.59,0,76201.77
O10140,C1289,2025-06-25,Furniture,Bookshelf,2,16077.74,0.1,28939.93
O10141,C1372,2025-07-31,Apparel,Sunglasses,2,3499.79,0,6999.58
O10142,C1231,2024-01-13,Electronics,Smart Watch,2,2562.04,0.15,4355.47
O10143,C1287,2025-07-04,Home & Kitchen,Water Purifier,9,7943.21,0.1,64340.0
O10144,C1175,2025-09-07,Stationery,Notebook Set,7,329.26,0,2304.82
O10145,C1159,2025-10-19,Home & Kitchen,Air Fryer,6,9939.93,0.1,53675.62
O10146,C1215,2024-09-11,Stationery,Desk Organiser,1,1006.97,0,1006.97
O10147,C1211,2025-07-13,Electronics,Wireless Earbuds,3,4519.52,0,13558.56
O10148,C1354,2025-04-14,Electronics,Wireless Earbuds,6,4161.9,0,24971.4
O10149,C1203,2024-11-05,Stationery,Notebook Set,2,851.51,0.1,1532.72
O10150,C1290,2025-02-07,Stationery,Pen Pack,2,753.19,0,1506.38
O10151,C1080,2025-12-11,Stationery,Notebook Set,2,180.49,0.1,324.88
O10152,C1251,2025-06-20,Stationery,Planner,1,996.93,0.15,847.39
O10153,C1394,2025-09-05,Home & Kitchen,Mixer Grinder,2,6375.37,0.15,10838.13
O10154,C1050,2025-11-28,Stationery,Notebook Set,2,516.34,0,1032.68
O10155,C1027,2025-04-13,Apparel,Running Shoes,3,3361.99,0,10085.97
O10156,C1022,2025-02-07,Stationery,Pen Pack,2,480.53,0.1,864.95
O10157,C1129,2025-11-30,Apparel,Running Shoes,4,2260.4,0.1,8137.44
O10158,C1113,2025-03-19,Furniture,Bed Frame,3,23319.12,0,69957.36
O10159,C1044,2024-10-17,Home & Kitchen,Vacuum Cleaner,1,6672.31,0,6672.31
O10160,C1202,2025-08-28,Furniture,Office Chair,8,11702.81,0.15,79579.11
O10161,C1033,2024-12-15,Apparel,Backpack,5,4001.51,0,20007.55
O10162,C1176,2025-01-14,Apparel,Running Shoes,1,2463.14,0,2463.14
O10163,C1123,2024-11-16,Electronics,Smart Watch,1,3876.44,0.05,3682.62
O10164,C1407,2024-09-09,Home & Kitchen,Vacuum Cleaner,3,6364.44,0.15,16229.32
O10165,C1297,2024-09-12,Furniture,Bed Frame,1,15353.84,0.15,13050.76
O10166,C1067,2025-12-08,Furniture,Bed Frame,7,17132.62,0.05,113931.92
O10167,C1311,2025-11-21,Home & Kitchen,Mixer Grinder,1,12494.21,0,12494.21
O10168,C1277,2024-10-12,Apparel,Running Shoes,12,4582.12,0,54985.44
O10169,C1199,2025-10-18,Electronics,Smart Watch,2,7776.26,0.15,13219.64
O10170,C1055,2024-04-07,Stationery,Desk Organiser,2,995.44,0.15,1692.25
O10171,C1159,2025-07-02,Home & Kitchen,Vacuum Cleaner,8,3688.36,0.05,28031.54
O10172,C1237,2025-10-07,Home & Kitchen,Vacuum Cleaner,2,4281.44,0.15,7278.45
O10173,C1353,2025-02-10,Apparel,Running Shoes,3,4590.76,0.05,13083.67
O10174,C1180,2024-08-10,Home & Kitchen,Vacuum Cleaner,11,3559.73,0.15,33283.48
O10175,C1346,2024-06-24,Apparel,Running Shoes,8,4307.77,0,34462.16
O10176,C1079,2025-05-10,Electronics,Bluetooth Speaker,2,6646.81,0,13293.62
O10177,C1291,2025-05-21,Stationery,Desk Organiser,3,1121.98,0,3365.94
O10178,C1000,2025-01-24,Furniture,Office Chair,3,23314.91,0,69944.73
O10179,C1125,2024-07-18,Electronics,Bluetooth Speaker,2,3418.07,0,6836.14
O10180,C1213,2025-10-24,Stationery,Pen Pack,4,445.22,0.05,1691.84
O10181,C1226,2025-02-27,Stationery,Planner,6,684.09,0.05,3899.31
O10182,C1344,2025-12-04,Home & Kitchen,Water Purifier,2,11190.68,0.1,20143.22
O10183,C1133,2024-12-27,Stationery,Pen Pack,13,1167.89,0,15182.57
O10184,C1127,2025-01-13,Home & Kitchen,Vacuum Cleaner,1,6297.3,0,6297.3
O10185,C1070,2025-04-12,Apparel,Sunglasses,6,2232.09,0.15,11383.66
O10186,C1227,2025-07-29,Furniture,Bookshelf,7,7368.08,0.1,46418.9
O10187,C1123,2025-06-13,Electronics,Power Bank,1,7655.98,0,7655.98
O10188,C1306,2025-10-17,Apparel,Jacket,3,1541.08,0.05,4392.08
O10189,C1105,2024-11-29,Electronics,Bluetooth Speaker,1,4140.06,0.05,3933.06
O10190,C1057,2025-04-03,Furniture,Bed Frame,2,14576.18,0.1,26237.12
O10191,C1036,2024-02-29,Electronics,Power Bank,9,9439.39,0.15,72211.33
O10192,C1169,2025-11-06,Stationery,Desk Organiser,2,264.24,0.05,502.06
O10193,C1097,2025-12-19,Stationery,Desk Organiser,1,158.72,0.15,134.91
O10194,C1314,2025-12-01,Furniture,Study Table,4,6180.11,0.05,23484.42
O10195,C1074,2025-01-25,Furniture,Study Table,3,25183.48,0.15,64217.87
O10196,C1086,2025-07-10,Furniture,Bookshelf,6,12656.57,0,75939.42
O10197,C1117,2025-04-05,Home & Kitchen,Vacuum Cleaner,3,12086.28,0,36258.84
O10198,C1054,2025-11-17,Apparel,Running Shoes,9,6191.63,0.15,47365.97
O10199,C1080,2025-08-21,Stationery,Notebook Set,2,298.98,0.05,568.06
O10200,C1326,2025-04-01,Electronics,Wireless Earbuds,2,8350.15,0.15,14195.25
O10201,C1190,2025-05-19,Electronics,Power Bank,1,2902.35,0.1,2612.11
O10202,C1363,2025-11-10,Furniture,Office Chair,12,13931.91,0,167182.92
O10203,C1371,2025-02-09,Apparel,Backpack,11,923.48,0.1,9142.45
O10204,C1100,2025-10-18,Electronics,Bluetooth Speaker,4,5779.21,0.15,19649.31
O10205,C1079,2025-05-31,Stationery,Notebook Set,1,1001.71,0,1001.71
O10206,C1311,2025-04-17,Stationery,Planner,2,1150.45,0,2300.9
O10207,C1153,2025-08-08,Stationery,Notebook Set,1,1040.52,0.05,988.49
O10208,C1353,2024-09-27,Home & Kitchen,Vacuum Cleaner,2,8747.55,0,17495.1
O10209,C1289,2025-05-27,Apparel,Backpack,1,1539.82,0,1539.82
O10210,C1280,2024-07-14,Home & Kitchen,Vacuum Cleaner,1,9866.16,0,9866.16
O10211,C1363,2025-12-15,Home & Kitchen,Water Purifier,11,4873.34,0.15,45565.73
O10212,C1262,2025-11-22,Stationery,Notebook Set,13,1044.11,0.05,12894.76
O10213,C1068,2025-06-01,Stationery,Notebook Set,11,807.92,0.15,7554.05
O10214,C1200,2025-07-05,Home & Kitchen,Mixer Grinder,2,8843.79,0.1,15918.82
O10215,C1029,2025-03-07,Home & Kitchen,Air Fryer,1,6593.69,0,6593.69
O10216,C1235,2025-01-15,Electronics,Smart Watch,1,5080.01,0,5080.01
O10217,C1288,2024-08-30,Furniture,Study Table,2,12390.12,0.15,21063.2
O10218,C1348,2025-01-27,Furniture,Office Chair,10,9644.95,0,96449.5
O10219,C1369,2025-07-04,Electronics,Bluetooth Speaker,3,2567.27,0.1,6931.63
O10220,C1057,2025-01-28,Home & Kitchen,Vacuum Cleaner,3,6381.38,0.1,17229.73
O10221,C1225,2025-05-29,Electronics,Power Bank,2,2650.21,0.1,4770.38
O10222,C1148,2025-11-29,Apparel,Jacket,3,4194.57,0.15,10696.15
O10223,C1389,2025-04-22,Apparel,Running Shoes,1,1038.65,0.05,986.72
O10224,C1016,2024-08-09,Electronics,Smart Watch,3,6577.24,0.05,18745.13
O10225,C1243,2025-05-31,Apparel,Sunglasses,3,2183.57,0,6550.71
O10226,C1168,2025-09-27,Home & Kitchen,Vacuum Cleaner,3,12749.02,0,38247.06
O10227,C1086,2025-09-14,Apparel,Backpack,4,4131.44,0,16525.76
O10228,C1003,2025-01-26,Stationery,Planner,1,500.47,0.1,450.42
O10229,C1023,2025-11-01,Home & Kitchen,Mixer Grinder,3,5417.47,0,16252.41
O10230,C1182,2025-08-23,Stationery,Pen Pack,1,1191.79,0,1191.79
O10231,C1102,2025-10-06,Stationery,Notebook Set,2,531.06,0,1062.12
O10232,C1407,2024-05-31,Electronics,Bluetooth Speaker,2,9214.77,0.1,16586.59
O10233,C1325,2025-03-30,Furniture,Bed Frame,6,11690.19,0,70141.14
O10234,C1400,2025-06-02,Stationery,Desk Organiser,2,1088.91,0,2177.82
O10235,C1069,2024-10-24,Electronics,Power Bank,2,4918.36,0,9836.72
O10236,C1086,2025-11-11,Electronics,Smart Watch,4,4121.47,0.1,14837.29
O10237,C1282,2025-12-10,Furniture,Office Chair,11,24306.33,0.1,240632.67
O10238,C1091,2025-03-11,Stationery,Desk Organiser,2,1186.84,0.15,2017.63
O10239,C1219,2024-05-13,Apparel,Backpack,6,5934.99,0.1,32048.95
O10240,C1011,2024-10-01,Furniture,Study Table,6,19644.5,0.05,111973.65
O10241,C1102,2025-05-12,Stationery,Notebook Set,4,356.55,0,1426.2
O10242,C1307,2024-12-10,Electronics,Wireless Earbuds,3,8032.92,0,24098.76
O10243,C1002,2025-04-16,Furniture,Office Chair,1,18257.68,0,18257.68
O10244,C1383,2024-02-09,Apparel,Sunglasses,7,4314.81,0.05,28693.49
O10245,C1407,2024-02-23,Electronics,Bluetooth Speaker,3,7774.9,0.05,22158.46
O10246,C1006,2024-08-30,Furniture,Bookshelf,11,5704.38,0,62748.18
O10247,C1080,2025-05-07,Electronics,Smart Watch,3,3420.71,0,10262.13
O10248,C1183,2025-12-28,Furniture,Bed Frame,3,11898.32,0.1,32125.46
O10249,C1078,2025-12-24,Furniture,Study Table,6,20433.29,0.05,116469.75
O10250,C1390,2025-06-12,Furniture,Bed Frame,2,16524.95,0,33049.9
O10251,C1067,2025-04-20,Electronics,Power Bank,7,2568.39,0.15,15281.92
O10252,C1116,2025-03-16,Electronics,Wireless Earbuds,2,6609.65,0.1,11897.37
O10253,C1104,2025-06-15,Home & Kitchen,Vacuum Cleaner,2,13289.02,0,26578.04
O10254,C1377,2025-10-30,Home & Kitchen,Air Fryer,4,6339.77,0.05,24091.13
O10255,C1109,2025-08-07,Apparel,Sunglasses,2,2087.72,0.15,3549.12
O10256,C1007,2024-05-11,Apparel,Backpack,3,1235.92,0.05,3522.37
O10257,C1336,2025-12-22,Home & Kitchen,Air Fryer,6,5172.76,0,31036.56
O10258,C1118,2025-07-02,Home & Kitchen,Vacuum Cleaner,3,11158.18,0.05,31800.81
O10259,C1110,2025-06-05,Home & Kitchen,Water Purifier,2,12384.23,0,24768.46
O10260,C1153,2025-07-08,Electronics,Bluetooth Speaker,2,1830.28,0.15,3111.48
O10261,C1312,2025-08-19,Apparel,Jacket,1,4143.66,0.15,3522.11
O10262,C1184,2024-10-26,Apparel,Jacket,2,3334.93,0,6669.86
O10263,C1350,2024-05-18,Electronics,Smart Watch,1,9302.39,0,9302.39
O10264,C1077,2025-09-06,Furniture,Office Chair,2,20653.04,0,41306.08
O10265,C1212,2025-02-03,Apparel,Backpack,1,6386.04,0,6386.04
O10266,C1405,2025-07-20,Electronics,Wireless Earbuds,5,2838.2,0.05,13481.45
O10267,C1357,2024-11-17,Electronics,Wireless Earbuds,8,9429.0,0,75432.0
O10268,C1061,2025-12-24,Apparel,Jacket,2,3842.33,0.15,6531.96
O10269,C1276,2025-06-27,Stationery,Notebook Set,2,706.43,0,1412.86
O10270,C1178,2025-12-20,Home & Kitchen,Mixer Grinder,2,10830.5,0,21661.0
O10271,C1135,2025-08-09,Electronics,Wireless Earbuds,1,3312.64,0.1,2981.38
O10272,C1185,2025-05-04,Electronics,Bluetooth Speaker,3,7098.71,0,21296.13
O10273,C1280,2025-02-23,Apparel,Backpack,2,3135.99,0.05,5958.38
O10274,C1077,2025-08-08,Apparel,Sunglasses,4,5401.02,0.1,19443.67
O10275,C1256,2025-03-06,Stationery,Planner,1,1190.56,0,1190.56
O10276,C1317,2024-07-14,Electronics,Power Bank,7,7145.26,0.05,47515.98
O10277,C1281,2025-05-02,Apparel,Running Shoes,3,3551.43,0.1,9588.86
O10278,C1175,2025-07-18,Stationery,Planner,12,396.16,0.05,4516.22
O10279,C1181,2025-11-15,Electronics,Power Bank,3,9314.67,0.15,23752.41
O10280,C1164,2025-02-10,Stationery,Pen Pack,2,1120.14,0.05,2128.27
O10281,C1369,2025-02-10,Stationery,Planner,1,749.24,0.1,674.32
O10282,C1186,2025-11-02,Home & Kitchen,Mixer Grinder,1,11797.57,0,11797.57
O10283,C1338,2025-05-06,Home & Kitchen,Air Fryer,7,5999.16,0.05,39894.41
O10284,C1062,2025-03-25,Home & Kitchen,Vacuum Cleaner,7,6626.73,0.1,41748.4
O10285,C1266,2025-07-17,Apparel,Running Shoes,2,2440.08,0.15,4148.14
O10286,C1057,2025-08-29,Apparel,Jacket,2,5149.3,0,10298.6
O10287,C1187,2025-10-08,Stationery,Pen Pack,4,803.88,0.05,3054.74
O10288,C1129,2024-09-11,Stationery,Pen Pack,4,150.85,0,603.4
O10289,C1156,2025-11-08,Furniture,Bookshelf,6,9995.86,0,59975.16
O10290,C1268,2025-12-17,Apparel,Running Shoes,2,2029.42,0,4058.84
O10291,C1316,2025-08-28,Electronics,Power Bank,1,4693.09,0,4693.09
O10292,C1208,2025-05-02,Stationery,Desk Organiser,2,519.97,0,1039.94
O10293,C1316,2025-05-28,Stationery,Desk Organiser,1,216.52,0,216.52
O10294,C1040,2025-05-27,Apparel,Sunglasses,4,3844.56,0.15,13071.5
O10295,C1387,2025-03-05,Electronics,Power Bank,3,8999.95,0.05,25649.86
O10296,C1242,2025-06-05,Electronics,Power Bank,1,4861.63,0,4861.63
O10297,C1343,2025-06-12,Home & Kitchen,Water Purifier,3,8591.65,0,25774.95
O10298,C1393,2025-08-12,Apparel,Running Shoes,1,1404.29,0,1404.29
O10299,C1052,2025-06-10,Electronics,Smart Watch,2,6145.99,0,12291.98
O10300,C1364,2025-03-27,Apparel,Running Shoes,8,3982.11,0,31856.88
O10301,C1208,2025-11-16,Electronics,Smart Watch,1,4267.76,0,4267.76
O10302,C1095,2025-10-19,Furniture,Bookshelf,3,6362.21,0,19086.63
O10303,C1284,2025-04-23,Stationery,Planner,2,865.12,0.05,1643.73
O10304,C1410,2025-09-14,Stationery,Desk Organiser,2,470.22,0.1,846.4
O10305,C1333,2025-07-13,Apparel,Sunglasses,1,4875.3,0,4875.3
O10306,C1102,2025-11-06,Stationery,Notebook Set,1,915.72,0.05,869.93
O10307,C1289,2025-12-09,Furniture,Office Chair,2,10381.48,0.15,17648.52
O10308,C1107,2025-11-09,Stationery,Planner,6,576.3,0,3457.8
O10309,C1029,2024-11-12,Apparel,Running Shoes,1,1174.19,0.05,1115.48
O10310,C1092,2025-06-18,Stationery,Pen Pack,3,673.13,0.15,1716.48
O10311,C1150,2025-05-14,Stationery,Pen Pack,3,303.06,0,909.18
O10312,C1238,2025-06-04,Home & Kitchen,Air Fryer,2,13420.28,0,26840.56
O10313,C1361,2025-09-18,Apparel,Jacket,4,5761.78,0,23047.12
O10314,C1228,2025-02-09,Home & Kitchen,Vacuum Cleaner,3,10541.91,0,31625.73
O10315,C1166,2025-06-15,Home & Kitchen,Mixer Grinder,3,13357.57,0.05,38069.07
O10316,C1016,2025-06-04,Apparel,Jacket,1,4488.39,0.15,3815.13
O10317,C1047,2025-02-19,Apparel,Jacket,2,4978.14,0.05,9458.47
O10318,C1058,2024-09-05,Furniture,Office Chair,5,18636.13,0.1,83862.59
O10319,C1269,2024-10-01,Furniture,Bed Frame,4,11980.89,0,47923.56
O10320,C1102,2025-12-05,Furniture,Bookshelf,3,17352.21,0,52056.63
O10321,C1071,2025-09-02,Furniture,Study Table,3,16943.94,0.1,45748.64
O10322,C1051,2024-05-29,Furniture,Study Table,3,24804.62,0,74413.86
O10323,C1170,2025-03-27,Apparel,Sunglasses,7,2285.42,0,15997.94
O10324,C1414,2024-05-21,Stationery,Planner,3,250.45,0,751.35
